"region","subregion","chl_mean","sst_mean","fwd_mean","poc_mean","dist_S","wf_log","rugosity","easting","northing","lat","long","site","complx_3m","ext_m_tetra","ext_m_brachi","ext_m_chth","incl_graus_franja","incl_graus_tetra","incl_graus_brachi","incl_graus_chth","extensao","inclinacao","mean_exp","sst_mean.1","sst_CV","distCentro","pop_2010","pop_est_2017","cresc_anual","densidade_km2","distance_S"
"SW-NE","Ubatuba",1.703,25.456,0.527,394.021,232.67,3.77276,1.53,528457.182056619,7417351.70961585,-23.35321,-44.72159,"Ranchos",1.53015111267223,5.266,NA,7.666,17,13.6,NA,31.2,6.466,20.6,7087.06574041193,25.4556750991892,11.7587647474232,166.146288902784,37533,41454,1.35123958397949,40.57,232.666052
"W-E","SCRJ",4.971,26.135,0.777,507.659,245.22,3.166635,1.104,531273.612706189,7439892.16037829,-23.14955,-44.6945,"Prainha (Paraty)",1.10371927861363,2.288,3.112,NA,44.6,16,17.4,NA,2.7,26,1834.0568927341,26.1351968615789,11.0171630038305,158.264391470379,37533,41454,1.35123958397949,40.57,245.218396
"W-E","SCRJ",9.98,26.013,0.842,635.628,255.84,2.63851,1.258,537209.990509559,7450979.86640698,-23.04927,-44.63678,"Morto",1.25790281329923,6.55,NA,6.83,10.8,12.2,NA,38,6.69,20.3333333333333,572.292859213693,26.0131750364865,10.4577193233977,150.930998548891,37533,41454,1.35123958397949,40.57,255.840741
"W-E","SCRJ",5.755,26.125,0.63,538.515,259.91,2.124025,1.055,541744.057481396,7451267.93264798,-23.04656,-44.59253,"Tarituba",1.05577245001044,2.658,NA,3.732,27,18,NA,14,3.195,19.6666666666667,242.226499938965,26.1245264875676,10.6461662973261,146.388730955878,37533,41454,1.35123958397949,40.57,259.9141
"W-E","SCRJ",6.348,26.081,0.52,535.546,263.93,3.70529,1.082,545783.691782831,7452294.54211676,-23.03718,-44.55313,"Coqueiro",1.08162945745323,3.84,5.474,8.19,14,19.6,4.6,7.6,5.83466666666667,11.45,5467.97241950758,26.0807232107895,10.3114878754897,142.267690092805,37533,41454,1.35123958397949,40.57,263.934698
"W-E","SCRJ",3.585,25.422,0.547,558.738,301.5,3.15165,1.222,588037.37033269,7452438.20042454,-23.03418,-44.14075,"Alta",1.22205183122724,0.72,NA,1.58,NA,74,NA,33,1.14,49.3333333333333,1341.20057169596,25.4215271747222,10.9719835384937,100.244890845074,36456,42415,2.00703928866136,102.29,301.503201
"W-E","SCRJ",7.681,25.239,0.681,674.925,307.39,3.471664,1.233,592656.557871488,7456412.68559467,-22.99803,-44.09591,"Clubmed",1.23282828282828,1.556,NA,2.436,67.8,55.4,NA,45,1.996,56.0666666666667,3352.76343154907,25.2385338751724,10.2855666116123,95.1997007228045,36456,42415,2.00703928866136,102.29,307.391311
"W-E","MRRJ",4.66,24.688,0.534,531.739,361.31,4.04478,1.235,653597.166033563,7451182.64291227,-23.04075,-43.50089,"Grumari",1.23467267687426,0.63,1.638,2.624,21.4,22.2,25.6,26,1.63066666666666,23.8,11573.3167649872,24.6881476162963,12.0332248748147,36.7571645168785,6320446,6520266,0.4377998426094,5265.82,361.312786
"W-E","MRRJ",4.172,24.369,0.552,461.397,382.57,4.043718,1.129,675304.053265852,7453824.08077912,-23.01475,-43.2894,"Joatinga",1.12925178097996,1.414,2.424,4.666,35.6,48,27.8,23,2.83466666666667,33.6,12321.8509740585,24.3693176618182,11.6089402728011,16.8979165061695,6320446,6520266,0.4377998426094,5265.82,382.571398
"W-E","MRRJ",5.541,24.408,0.606,442.632,389.52,4.061288,1.085,681725.422972126,7456505.48081694,-22.98985,-43.22708,"Leblon",1.08524566126857,1.032,1.734,4.68,19.2,22.6,23.8,23.2,2.482,22.2,12589.8546738735,24.40833292,11.474492166569,10.7413102694303,6320446,6520266,0.4377998426094,5265.82,389.523392
