"site","quadrado","tamanho_mm","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab","incl_graus_tetra"
"Almada","8",5.751,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",2.046,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",2.499,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",6.065,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",7.172,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",5.058,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",2.815,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",6.738,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",6.485,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",6.085,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","8",5.904,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",2.622,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",4.819,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",5.84,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",8.672,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",5.688,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",9.26,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",2.82,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",8.005,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",8.535,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",3.96,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",2.087,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",6.814,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",5.677,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",4.903,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",1.541,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",2.841,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",6.204,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",8.11,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",3.031,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",4.56,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",4.701,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","9",5.328,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",2.343,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",2.346,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",3.923,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",7.87,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",3.538,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",2.869,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",2.929,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",2.398,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",8.337,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",2.277,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",6.264,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
"Almada","10",3.245,"Ubatuba","SW-NE",3.641,25.162,0.615,2.59735,1.168,27.6833333333333,511310.39550266,7416730.48433639,216.85013,24.7888888888889,9,30.4
