"site","tamanho_mm","region","subregion","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","ndvi","easting","northing","ext","ext_m_chth","incl_graus_chth","inclinacao","distance_S","ndvi_sup_diff"
"Almada",3.467,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.972,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.044,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",2.969,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",2.915,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",2.932,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.735,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",2.575,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.841,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.081,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.488,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.573,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.995,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.615,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.667,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",6.134,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.471,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",6.701,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.207,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",2.712,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.831,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.968,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.259,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.562,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.662,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",2.66,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",6.586,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",6.415,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.91,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.589,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.509,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.452,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.397,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.207,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.167,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.817,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.137,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",5.371,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.803,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",6.557,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",6.282,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.328,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.286,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.75,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",4.018,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",6.027,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",6.044,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
"Almada",3.356,"SW-NE","Ubatuba",3.641,25.162,0.615,2.59735,1.168,0.0338066666666667,511310.39550266,7416730.48433639,5.035,6.16,38.6,27.6833333333333,216.85013,0.00621333333333333
