"lat","lon","region","site","height","fase","sample","mean","sd","var","median","min","max","Q1","Q3","unique_id","diff","cv"
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",12,0.5623,0.0169,0,0.5769,-0.0549,1,0.4259,0.6934,"pta_cabeca_superior_12",0.1232,0.0300551307131424
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",13,0.5498,0.0156,0,0.5671,-0.0466,1,0.4167,0.6904,"pta_cabeca_superior_13",0.0212,0.028373954165151
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",14,0.6032,0.0125,0,0.6212,-0.0022,1,0.4872,0.7184,"pta_cabeca_superior_14",0.0587,0.0207228116710875
-22.97679,-42.03492,"Arraial","Pta_Cabeca","Superior","Antes",15,0.5714,0.0181,0,0.5827,-0.0471,1,0.4323,0.6978,"pta_cabeca_superior_15",0.0839,0.0316765838291915
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",1,0.6067,0.0113,0,0.6053,0.0315,1,0.4811,0.7258,"canto_itaguai_superior_1",0.136,0.0186253502554805
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",2,0.4742,0.013,0,0.4615,0,1,0.3238,0.6115,"canto_itaguai_superior_2",0.1516,0.0274145929987347
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",3,0.4288,0.0139,0,0.4194,-0.0862,1,0.3066,0.5443,"canto_itaguai_superior_3",0.0529,0.0324160447761194
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",4,0.4592,0.0116,0,0.4503,-0.0405,1,0.3393,0.5753,"canto_itaguai_superior_4",0.1189,0.0252613240418118
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",5,0.3933,0.0133,0,0.3769,-0.125,1,0.2705,0.5,"canto_itaguai_superior_5",0.00379999999999997,0.0338164251207729
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",6,0.3999,0.0153,0,0.3684,-0.0395,1,0.2653,0.4994,"canto_itaguai_superior_6",0.1053,0.0382595648912228
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",7,0.4228,0.0156,0,0.4096,-0.0647,1,0.306,0.5323,"canto_itaguai_superior_7",-0.0572,0.0368968779564806
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",8,0.3479,0.0154,0,0.3253,-0.0282,1,0.2255,0.4561,"canto_itaguai_superior_8",0.0146,0.0442655935613682
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",9,0.3382,0.0148,0,0.3256,-0.5385,1,0.2063,0.4584,"canto_itaguai_superior_9",-0.0301,0.0437610881135423
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",10,0.3931,0.0211,0,0.3799,-0.0289,1,0.2714,0.5188,"canto_itaguai_superior_10",0.00209999999999999,0.0536759094378021
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",11,0.4507,0.0146,0,0.4286,-0.0333,1,0.3014,0.5919,"canto_itaguai_superior_11",-0.0427,0.0323940536942534
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",12,0.4192,0.0197,0,0.3958,-0.0543,1,0.2899,0.532,"canto_itaguai_superior_12",-0.0136,0.0469942748091603
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",13,0.4698,0.0131,0,0.466,-0.0093,1,0.3281,0.5984,"canto_itaguai_superior_13",0.0263,0.0278842060451256
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",14,0.5013,0.0131,0,0.4935,-0.0026,1,0.3822,0.6084,"canto_itaguai_superior_14",0.0251999999999999,0.026132056652703
-23.76175,-45.87548,"Bertioga","Canto_Itaguai","Superior","Antes",15,0.5256,0.0141,0,0.5127,-0.0158,1,0.3666,0.672,"canto_itaguai_superior_15",0.078,0.0268264840182648
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",1,0.3976,0.0131,0,0.392,-0.0951,1,0.25,0.5498,"indaia_inferior_1",0.112,0.0329476861167002
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",2,0.3779,0.0187,0,0.3719,-0.0734,1,0.2727,0.4857,"indaia_inferior_2",0.059,0.0494839904736703
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",3,0.2616,0.018,0,0.2198,-1,1,0.077,0.4146,"indaia_inferior_3",0.037,0.0688073394495413
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",4,0.4164,0.0171,0,0.4022,-0.044,1,0.3179,0.5041,"indaia_inferior_4",0.1075,0.0410662824207493
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",5,0.4976,0.012,0,0.4961,-0.02,1,0.3469,0.6397,"indaia_inferior_5",0.1193,0.0241157556270096
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",6,0.3169,0.0133,0,0.2983,-0.125,1,0.1809,0.4386,"indaia_inferior_6",0.0916,0.041969075418113
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",7,0.3495,0.0133,0,0.3445,-0.0223,1,0.1778,0.5079,"indaia_inferior_7",0.1472,0.0380543633762518
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",8,0.4786,0.0217,1e-04,0.4852,-0.0361,1,0.3333,0.6316,"indaia_inferior_8",0.0165,0.0453405766819891
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",9,0.4402,0.019,0,0.4674,-0.0133,1,0.2912,0.5762,"indaia_inferior_9",0.1191,0.0431621990004543
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",10,0.4696,0.0173,0,0.4626,-0.0063,1,0.2973,0.626,"indaia_inferior_10",0.0464,0.036839863713799
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",11,0.4557,0.0212,1e-04,0.4875,-0.021,1,0.268,0.6078,"indaia_inferior_11",0.0486,0.0465218345402677
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",12,0.3225,0.0171,0,0.3034,-0.0604,1,0.1852,0.4217,"indaia_inferior_12",-0.0518,0.0530232558139535
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",13,0.5498,0.0248,0,0.5583,0.0113,1,0.4538,0.6485,"indaia_inferior_13",0.0215,0.0451073117497272
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",14,0.5235,0.0378,1e-04,0.5357,-0.0106,1,0.4536,0.6153,"indaia_inferior_14",-0.0269,0.0722063037249284
-23.802035,-46.000934,"Bertioga","Indaia","Inferior","Antes",15,0.2946,0.0121,0,0.2874,-0.4545,1,0.1736,0.4034,"indaia_inferior_15",0.0927,0.0410726408689749
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",1,0.4639,0.0128,0,0.4486,-0.1646,1,0.3243,0.5887,"indaia_superior_1",0.0231,0.0275921534813537
-23.802035,-46.000934,"Bertioga","Indaia","Superior","Antes",2,0.5061,0.0092,0,0.5123,0.011,1,0.3817,0.6266,"indaia_superior_2",0.0608,0.0181782256471053
