site	region	subregion	distance_S	easting	northing	tamanho_mm	chl_mean	sst_mean	fwd_mean	wf_log	rugosity	inclinacao	Tetr_size	Tetr_density	Brach_cover	Brach_size	perna_PA	perna_cover	Brach_RW
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	24.740	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	29.760	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	22.770	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	24.880	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	25.060	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	23.080	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	22.020	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.520	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	22.620	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	21.520	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	22.480	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.720	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.920	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	20.320	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	21.160	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.780	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
